"ticker","company_name","sector","industry","market_cap_category"
"MANOMAY.NS","Manomay Tex India Limited","Other","Other","Other"
"MANORAMA.NS","Manorama Industries Limited","Other","Other","Other"
"MANUGRAPH.NS","Manugraph India Limited","Other","Other","Other"
"MANYAVAR.NS","Vedant Fashions Limited","Other","Other","Other"
"MAPMYINDIA.NS","C.E. Info Systems Limited","Technology","Information Technology","Small Cap"
"MARATHON.NS","Marathon Nextgen Realty Limited","Other","Other","Other"
"MARICO.NS","Marico Limited","Consumer Defensive","Fast Moving Consumer Goods","Mid Cap"
"MARINE.NS","Marine Electricals (India) Limited","Other","Other","Other"
"MARKOLINES.NS","Markolines Pavement Technologies Limited","Other","Other","Other"
"MARKSANS.NS","Marksans Pharma Limited","Other","Other","Other"
"MARSONS.NS","Marsons Limited","Other","Other","Other"
"MARUTI.NS","Maruti Suzuki India Limited","Consumer Cyclical","Automobile and Auto Components","Large Cap"
"MASFIN.NS","MAS Financial Services Limited","Other","Other","Other"
"MASTEK.NS","Mastek Limited","Other","Other","Other"
"MASTERTR.NS","Master Trust Limited","Other","Other","Other"
"MATRIMONY.NS","Matrimony.Com Limited","Other","Other","Other"
"MAXESTATES.NS","Max Estates Limited","Other","Other","Other"
"MAXHEALTH.NS","Max Healthcare Institute Limited","Healthcare","Healthcare","Large Cap"
"MAXIND.NS","Max India Limited","Other","Other","Other"
"MAYURUNIQ.NS","Mayur Uniquoters Ltd","Other","Other","Other"
"MAZDA.NS","Mazda Limited","Other","Other","Other"
"MAZDOCK.NS","Mazagon Dock Shipbuilders Limited","Industrials","Capital Goods","Large Cap"
"MBAPL.NS","Madhya Bharat Agro Products Limited","Other","Other","Other"
"MBEL.NS","M & B Engineering Limited","Other","Other","Other"
"MBLINFRA.NS","MBL Infrastructure Limited","Other","Other","Other"
"MCCHRLS-B.NS","Mac Charles India Limited","Other","Other","Other"
"MCL.NS","M TEK COPPER LIMITED","Other","Other","Other"
"MCLOUD.NS","Magellanic Cloud Limited","Other","Other","Other"
"MCX.NS","Multi Commodity Exchange of India Limited","Financial Services","Financial Services","Mid Cap"
"MEDANTA.NS","Global Health Limited","Healthcare","Healthcare","Mid Cap"
"MEDIASSIST.NS","Medi Assist Healthcare Services Limited","Other","Other","Other"
